,rideshare_company,pickup_zone,dropoff_zone,trip_length_miles,trip_time_seconds,base_passenger_fare_dollars,tolls_dollars,black_car_fund_dollars,sales_tax_dollars,congestion_surcharge_dollars,airport_fee_dollars,tip_dollars,driver_pay_dollars,driver_total_pay_dollars,good_fare,request_month,request_date,request_hour,request_minute,request_day_of_week,time_of_day,pickup_borough,dropoff_borough,tip_or_no_tip
11209,Uber,Financial District North,SoHo,1.47,1169,20.42,0.0,0.56,1.81,2.75,0.0,0.0,24.27,24.27,False,Dec,07,09,36,Thu,morning,Manhattan,Manhattan,False
11210,Uber,Melrose South,Hunts Point,1.41,753,10.69,0.0,0.29,0.95,0.0,0.0,0.0,16.43,16.43,False,Dec,07,09,38,Thu,morning,Bronx,Bronx,False
11211,Lyft,Astoria,Bedford,4.818,1644,32.28,0.0,0.81,2.6,0.0,0.0,0.0,21.97,21.97,False,Dec,07,10,30,Thu,morning,Queens,Queens,False
11212,Lyft,Forest Hills,Ridgewood,6.421,898,24.25,0.0,0.63,2.03,0.0,0.0,0.0,19.37,19.37,False,Dec,07,11,50,Thu,morning,Queens,Queens,False
11213,Lyft,Central Harlem,Lincoln Square East,2.439,1205,17.18,0.0,0.47,1.52,2.75,0.0,0.0,14.66,14.66,False,Dec,07,11,54,Thu,morning,Manhattan,Manhattan,False
11214,Uber,Lower East Side,West Village,1.91,1071,18.07,0.0,0.5,1.6,2.75,0.0,4.58,23.04,27.619999999999997,False,Dec,07,12,26,Thu,afternoon,Manhattan,Manhattan,True
11215,Uber,Park Slope,Downtown Brooklyn/MetroTech,3.62,2153,42.0,0.0,1.16,3.73,0.0,0.0,0.0,31.5,31.5,False,Dec,07,12,40,Thu,afternoon,Brooklyn,Brooklyn,False
11216,Uber,Midtown Center,Murray Hill,0.99,1073,10.94,0.0,0.3,0.97,2.75,0.0,0.0,18.26,18.26,False,Dec,07,14,17,Thu,afternoon,Manhattan,Manhattan,False
11217,Uber,Astoria,Steinway,1.24,627,8.54,0.0,0.23,0.76,0.0,0.0,0.0,11.81,11.81,False,Dec,07,14,30,Thu,afternoon,Queens,Queens,False
11218,Uber,Meatpacking/West Village West,TriBeCa/Civic Center,1.72,819,16.78,0.0,0.46,1.49,2.75,0.0,0.0,19.96,19.96,False,Dec,07,14,35,Thu,afternoon,Manhattan,Manhattan,False
11219,Uber,Garment District,Lower East Side,3.03,2096,36.37,0.0,1.0,3.23,2.75,0.0,8.67,43.83,52.5,False,Dec,07,14,57,Thu,afternoon,Manhattan,Manhattan,True
11220,Lyft,Midtown East,Lenox Hill East,1.424,949,12.76,0.0,0.35,1.13,2.75,0.0,0.0,12.76,12.76,False,Dec,07,15,15,Thu,afternoon,Manhattan,Manhattan,False
11221,Lyft,UN/Turtle Bay South,Lincoln Square East,1.987,1772,19.84,0.0,0.55,1.76,2.75,0.0,4.48,20.04,24.52,False,Dec,07,15,49,Thu,afternoon,Manhattan,Manhattan,True
11222,Uber,Midtown East,Murray Hill,0.66,721,10.97,0.0,0.3,0.97,2.75,0.0,3.0,16.39,19.39,False,Dec,07,15,54,Thu,afternoon,Manhattan,Manhattan,True
11223,Uber,Midtown South,LaGuardia Airport,9.87,2505,61.17,6.94,1.94,6.27,2.75,2.5,16.31,69.6,85.91,True,Dec,07,16,15,Thu,afternoon,Manhattan,Manhattan,True
11224,Lyft,Clinton West,Midtown North,2.121,1620,10.88,0.0,0.3,0.97,2.75,0.0,0.0,18.19,18.19,False,Dec,07,16,16,Thu,afternoon,Manhattan,Manhattan,False
11225,Uber,Clinton Hill,Bedford,1.73,949,16.82,0.0,0.46,1.49,0.0,0.0,0.0,19.86,19.86,False,Dec,07,17,26,Thu,afternoon,Brooklyn,Brooklyn,False
11226,Lyft,Soundview/Castle Hill,Clinton West,9.954,3671,47.06,0.35,1.3,4.21,2.75,0.0,0.0,51.45,51.45,False,Dec,07,17,38,Thu,afternoon,Bronx,Bronx,False
11227,Uber,East New York,East Flatbush/Remsen Village,3.22,1429,18.15,0.0,0.5,1.61,0.0,0.0,0.0,17.67,17.67,False,Dec,07,18,11,Thu,evening,Brooklyn,Brooklyn,False
11228,Uber,DUMBO/Vinegar Hill,Battery Park City,2.28,968,22.56,0.0,0.62,2.0,2.75,0.0,0.0,12.1,12.1,False,Dec,07,18,20,Thu,evening,Brooklyn,Brooklyn,False
11229,Uber,Yorkville East,Upper East Side North,1.21,412,9.13,0.0,0.25,0.81,2.75,0.0,1.0,5.46,6.46,False,Dec,07,18,36,Thu,evening,Manhattan,Manhattan,True
11230,Uber,Crown Heights North,Boerum Hill,3.79,1358,17.03,0.0,0.47,1.51,0.0,0.0,0.0,17.74,17.74,False,Dec,07,19,07,Thu,evening,Brooklyn,Brooklyn,False
11231,Uber,West Chelsea/Hudson Yards,Union Sq,1.07,618,12.46,0.0,0.34,1.11,2.75,0.0,3.0,7.22,10.219999999999999,False,Dec,07,19,19,Thu,evening,Manhattan,Manhattan,True
11232,Uber,Central Park,Central Harlem,3.75,1010,37.76,0.0,1.04,3.35,2.75,0.0,4.49,23.53,28.020000000000003,False,Dec,07,19,42,Thu,evening,Manhattan,Manhattan,True
11233,Uber,Sunnyside,Ocean Hill,4.59,1348,22.31,0.0,0.61,1.98,0.0,0.0,0.0,18.83,18.83,False,Dec,07,19,50,Thu,evening,Queens,Queens,False
11234,Uber,Financial District North,Greenwich Village South,1.74,1461,16.78,0.0,0.46,1.49,2.75,0.0,0.0,16.45,16.45,False,Dec,07,20,16,Thu,evening,Manhattan,Manhattan,False
11235,Uber,East Williamsburg,Little Italy/NoLiTa,3.7,781,16.11,0.0,0.44,1.43,2.75,0.0,0.0,12.2,12.2,False,Dec,07,21,19,Thu,evening,Brooklyn,Brooklyn,False
11236,Lyft,West Village,Gramercy,1.586,871,36.05,0.0,0.99,3.2,2.75,0.0,0.0,12.36,12.36,False,Dec,07,22,54,Thu,night,Manhattan,Manhattan,False
11237,Uber,SoHo,TriBeCa/Civic Center,1.11,491,25.7,0.0,0.71,2.28,2.75,0.0,0.0,23.65,23.65,False,Dec,07,23,01,Thu,night,Manhattan,Manhattan,False
11238,Uber,TriBeCa/Civic Center,Outside of NYC,29.79,3929,126.89,20.0,4.04,0.0,0.0,0.0,30.18,90.57,120.75,True,Dec,07,23,15,Thu,night,Manhattan,Manhattan,True
11239,Lyft,Upper East Side South,Prospect-Lefferts Gardens,11.973,2767,45.09,2.61,1.31,4.23,2.75,0.0,0.0,46.39,46.39,False,Dec,07,23,59,Thu,night,Manhattan,Manhattan,False
11240,Uber,Saint George/New Brighton,Grymes Hill/Clifton,2.65,544,12.5,0.0,0.34,1.11,0.0,0.0,3.0,8.6,11.6,False,Dec,08,00,27,Fri,night,Staten Island,Staten Island,True
11241,Lyft,Parkchester,Van Nest/Morris Park,2.285,654,10.74,0.0,0.3,0.95,0.0,0.0,0.0,9.22,9.22,False,Dec,08,00,46,Fri,night,Bronx,Bronx,False
11242,Uber,Williamsburg (North Side),East Williamsburg,1.15,341,8.6,0.0,0.24,0.76,0.0,0.0,0.0,5.39,5.39,False,Dec,08,01,23,Fri,night,Brooklyn,Brooklyn,False
11243,Lyft,TriBeCa/Civic Center,JFK Airport,28.487,2874,57.8,1.66,1.7,5.5,2.75,2.5,0.0,64.9,64.9,True,Dec,08,06,12,Fri,morning,Manhattan,Manhattan,False
11244,Uber,Manhattan Valley,Upper West Side South,1.31,642,14.64,0.0,0.4,1.3,2.75,0.0,3.0,11.13,14.13,False,Dec,08,07,55,Fri,morning,Manhattan,Manhattan,True
11245,Lyft,Washington Heights South,West Concourse,2.042,798,11.52,0.0,0.32,1.02,0.0,0.0,0.0,10.27,10.27,False,Dec,08,08,13,Fri,morning,Manhattan,Manhattan,False
11246,Uber,Old Astoria,Old Astoria,0.85,365,8.94,0.0,0.25,0.79,0.0,0.0,0.0,5.4,5.4,False,Dec,08,08,57,Fri,morning,Queens,Queens,False
11247,Uber,West Concourse,Claremont/Bathgate,1.45,863,11.57,0.0,0.32,1.03,0.0,0.0,0.0,10.02,10.02,False,Dec,08,09,16,Fri,morning,Bronx,Bronx,False
11248,Uber,Forest Hills,Springfield Gardens South,5.78,1064,21.33,0.0,0.59,1.89,0.0,0.0,0.0,17.59,17.59,False,Dec,08,09,50,Fri,morning,Queens,Queens,False
11249,Uber,Brownsville,East New York,2.29,1041,16.41,0.0,0.45,1.46,0.0,0.0,0.0,12.79,12.79,False,Dec,08,09,58,Fri,morning,Brooklyn,Brooklyn,False
11250,Uber,East New York,Starrett City,2.3,640,12.48,0.0,0.34,1.11,0.0,0.0,0.0,9.04,9.04,False,Dec,08,10,50,Fri,morning,Brooklyn,Brooklyn,False
11251,Lyft,Lenox Hill West,Yorkville West,1.454,712,10.97,0.0,0.3,0.97,2.75,0.0,0.0,8.68,8.68,False,Dec,08,12,08,Fri,afternoon,Manhattan,Manhattan,False
11252,Lyft,Morningside Heights,Morningside Heights,0.682,324,5.96,0.0,0.16,0.53,0.0,0.0,0.0,5.47,5.47,False,Dec,08,12,13,Fri,afternoon,Manhattan,Manhattan,False
11253,Uber,World Trade Center,Midtown Center,4.23,2220,72.65,0.0,2.0,6.45,2.75,0.0,16.77,38.22,54.989999999999995,False,Dec,08,12,21,Fri,afternoon,Manhattan,Manhattan,True
11254,Uber,Penn Station/Madison Sq West,West Village,1.0,419,13.6,0.0,0.37,1.21,2.75,0.0,3.0,5.39,8.39,False,Dec,08,12,42,Fri,afternoon,Manhattan,Manhattan,True
11255,Uber,Flatiron,Newark Airport,14.77,2977,68.19,21.0,2.52,0.0,0.0,2.5,0.0,51.15,51.15,False,Dec,08,14,04,Fri,afternoon,Manhattan,Manhattan,False
